participant,task_type,repetition,condition,latency,trial_order
15,jebsen_taylor,2.0,3.0,0ms,8
15,jebsen_taylor,2.0,4.0,100ms,9
15,jebsen_taylor,2.0,5.0,200ms,10
16,boxblock,1.0,1.0,100ms,1
16,boxblock,1.0,2.0,200ms,2
16,boxblock,1.0,3.0,0ms,3
16,boxblock,1.0,4.0,50ms,4
16,boxblock,1.0,5.0,150ms,5
16,jebsen_taylor,2.0,1.0,200ms,6
16,jebsen_taylor,2.0,2.0,100ms,7
16,jebsen_taylor,2.0,3.0,150ms,8
16,jebsen_taylor,2.0,4.0,50ms,9
16,jebsen_taylor,2.0,5.0,0ms,10
17,jebsen_taylor,1.0,1.0,50ms,1
17,jebsen_taylor,1.0,2.0,100ms,2
17,jebsen_taylor,1.0,3.0,200ms,3
17,jebsen_taylor,1.0,4.0,0ms,4
17,jebsen_taylor,1.0,5.0,150ms,5
17,boxblock,2.0,1.0,100ms,6
17,boxblock,2.0,2.0,150ms,7
17,boxblock,2.0,3.0,200ms,8
17,boxblock,2.0,4.0,50ms,9
17,boxblock,2.0,5.0,0ms,10
18,boxblock,1.0,1.0,100ms,1
18,boxblock,1.0,2.0,0ms,2
18,boxblock,1.0,3.0,150ms,3
18,boxblock,1.0,4.0,200ms,4
18,boxblock,1.0,5.0,50ms,5
18,jebsen_taylor,2.0,1.0,200ms,6
18,jebsen_taylor,2.0,2.0,50ms,7
18,jebsen_taylor,2.0,3.0,150ms,8
18,jebsen_taylor,2.0,4.0,100ms,9
18,jebsen_taylor,2.0,5.0,0ms,10
19,jebsen_taylor,1.0,1.0,150ms,1
19,jebsen_taylor,1.0,2.0,50ms,2
19,jebsen_taylor,1.0,3.0,100ms,3
19,jebsen_taylor,1.0,4.0,0ms,4
19,jebsen_taylor,1.0,5.0,200ms,5
19,boxblock,2.0,1.0,100ms,6
19,boxblock,2.0,2.0,200ms,7
19,boxblock,2.0,3.0,0ms,8
19,boxblock,2.0,4.0,150ms,9
19,boxblock,2.0,5.0,50ms,10
20,,,,,1
20,,,,,2
20,,,,,3
20,,,,,4
20,,,,,5
20,,,,,6
20,,,,,7
20,,,,,8
20,,,,,9
20,,,,,10
21,jebsen_taylor,1.0,1.0,200ms,1
21,jebsen_taylor,1.0,2.0,150ms,2
21,jebsen_taylor,1.0,3.0,100ms,3
21,jebsen_taylor,1.0,4.0,50ms,4
21,jebsen_taylor,1.0,5.0,0ms,5
21,boxblock,2.0,1.0,100ms,6
21,boxblock,2.0,2.0,0ms,7
21,boxblock,2.0,3.0,50ms,8
21,boxblock,2.0,4.0,150ms,9
21,boxblock,2.0,5.0,200ms,10
22,boxblock,1.0,1.0,200ms,1
22,boxblock,1.0,2.0,0ms,2
22,boxblock,1.0,3.0,150ms,3
22,boxblock,1.0,4.0,100ms,4
22,boxblock,1.0,5.0,50ms,5
22,jebsen_taylor,2.0,1.0,150ms,6
22,jebsen_taylor,2.0,2.0,200ms,7
22,jebsen_taylor,2.0,3.0,0ms,8
22,jebsen_taylor,2.0,4.0,50ms,9
22,jebsen_taylor,2.0,5.0,100ms,10
23,jebsen_taylor,1.0,1.0,0ms,1
23,jebsen_taylor,1.0,2.0,200ms,2
23,jebsen_taylor,1.0,3.0,150ms,3
23,jebsen_taylor,1.0,4.0,100ms,4
23,jebsen_taylor,1.0,5.0,50ms,5
23,boxblock,2.0,1.0,150ms,6
23,boxblock,2.0,2.0,50ms,7
23,boxblock,2.0,3.0,100ms,8
23,boxblock,2.0,4.0,200ms,9
23,boxblock,2.0,5.0,0ms,10
24,boxblock,1.0,1.0,150ms,1
24,boxblock,1.0,2.0,100ms,2
24,boxblock,1.0,3.0,0ms,3
24,boxblock,1.0,4.0,200ms,4
24,boxblock,1.0,5.0,50ms,5
24,jebsen_taylor,2.0,1.0,200ms,6
24,jebsen_taylor,2.0,2.0,150ms,7
24,jebsen_taylor,2.0,3.0,50ms,8
24,jebsen_taylor,2.0,4.0,0ms,9
24,jebsen_taylor,2.0,5.0,100ms,10
25,boxblock,1.0,1.0,200ms,1
25,boxblock,1.0,2.0,100ms,2
25,boxblock,1.0,3.0,150ms,3
25,boxblock,1.0,4.0,50ms,4
25,boxblock,1.0,5.0,0ms,5
25,jebsen_taylor,2.0,1.0,50ms,6
25,jebsen_taylor,2.0,2.0,0ms,7
25,jebsen_taylor,2.0,3.0,150ms,8
25,jebsen_taylor,2.0,4.0,200ms,9
25,jebsen_taylor,2.0,5.0,100ms,10
26,boxblock,1.0,1.0,150ms,1
26,boxblock,1.0,2.0,200ms,2
26,boxblock,1.0,3.0,0ms,3
26,boxblock,1.0,4.0,50ms,4
26,boxblock,1.0,5.0,100ms,5
26,jebsen_taylor,2.0,1.0,200ms,6
26,jebsen_taylor,2.0,2.0,100ms,7
26,jebsen_taylor,2.0,3.0,0ms,8
26,jebsen_taylor,2.0,4.0,150ms,9
26,jebsen_taylor,2.0,5.0,50ms,10
27,jebsen_taylor,1.0,1.0,100ms,1
27,jebsen_taylor,1.0,2.0,50ms,2
27,jebsen_taylor,1.0,3.0,150ms,3
27,jebsen_taylor,1.0,4.0,0ms,4
27,jebsen_taylor,1.0,5.0,200ms,5
27,boxblock,2.0,1.0,0ms,6
27,boxblock,2.0,2.0,50ms,7
27,boxblock,2.0,3.0,100ms,8
27,boxblock,2.0,4.0,200ms,9
27,boxblock,2.0,5.0,150ms,10
28,boxblock,1.0,1.0,100ms,1
28,boxblock,1.0,2.0,200ms,2
28,boxblock,1.0,3.0,150ms,3
28,boxblock,1.0,4.0,0ms,4
28,boxblock,1.0,5.0,50ms,5
28,jebsen_taylor,2.0,1.0,50ms,6
28,jebsen_taylor,2.0,2.0,200ms,7
28,jebsen_taylor,2.0,3.0,150ms,8
28,jebsen_taylor,2.0,4.0,0ms,9
28,jebsen_taylor,2.0,5.0,100ms,10
29,boxblock,1.0,1.0,0ms,1
29,boxblock,1.0,2.0,50ms,2
29,boxblock,1.0,3.0,150ms,3
29,boxblock,1.0,4.0,200ms,4
29,boxblock,1.0,5.0,100ms,5
29,jebsen_taylor,2.0,1.0,0ms,6
29,jebsen_taylor,2.0,2.0,50ms,7
29,jebsen_taylor,2.0,3.0,100ms,8
29,jebsen_taylor,2.0,4.0,150ms,9
29,jebsen_taylor,2.0,5.0,200ms,10
30,jebsen_taylor,1.0,1.0,0ms,1
30,jebsen_taylor,1.0,2.0,100ms,2
30,jebsen_taylor,1.0,3.0,150ms,3
30,jebsen_taylor,1.0,4.0,50ms,4
30,jebsen_taylor,1.0,5.0,200ms,5
30,boxblock,2.0,1.0,100ms,6
30,boxblock,2.0,2.0,50ms,7
30,boxblock,2.0,3.0,0ms,8
30,boxblock,2.0,4.0,200ms,9
30,boxblock,2.0,5.0,150ms,10
31,boxblock,1.0,1.0,200ms,1
31,boxblock,1.0,2.0,50ms,2
31,boxblock,1.0,3.0,150ms,3
31,boxblock,1.0,4.0,0ms,4
31,boxblock,1.0,5.0,100ms,5
31,jebsen_taylor,2.0,1.0,50ms,6
31,jebsen_taylor,2.0,2.0,150ms,7
31,jebsen_taylor,2.0,3.0,200ms,8
31,jebsen_taylor,2.0,4.0,0ms,9
31,jebsen_taylor,2.0,5.0,100ms,10
32,,,,,1
32,,,,,2
32,,,,,3
32,,,,,4
32,,,,,5
32,,,,,6
32,,,,,7
32,,,,,8
32,,,,,9
32,,,,,10
33,,,,,1
33,,,,,2
33,,,,,3
33,,,,,4
33,,,,,5
33,,,,,6
33,,,,,7
33,,,,,8
33,,,,,9
33,,,,,10
34,boxblock,1.0,1.0,50ms,1
34,boxblock,1.0,2.0,100ms,2
34,boxblock,1.0,3.0,0ms,3
34,boxblock,1.0,4.0,200ms,4
34,boxblock,1.0,5.0,150ms,5
34,jebsen_taylor,2.0,1.0,100ms,6
34,jebsen_taylor,2.0,2.0,200ms,7
34,jebsen_taylor,2.0,3.0,150ms,8
34,jebsen_taylor,2.0,4.0,50ms,9
34,jebsen_taylor,2.0,5.0,0ms,10
35,,,,,1
35,,,,,2
35,,,,,3
35,,,,,4
35,,,,,5
35,,,,,6
35,,,,,7
35,,,,,8
35,,,,,9
35,,,,,10
36,boxblock,1.0,1.0,100ms,1
36,boxblock,1.0,2.0,200ms,2
36,boxblock,1.0,3.0,50ms,3
36,boxblock,1.0,4.0,150ms,4
36,boxblock,1.0,5.0,0ms,5
36,jebsen_taylor,2.0,1.0,0ms,6
36,jebsen_taylor,2.0,2.0,100ms,7
36,jebsen_taylor,2.0,3.0,200ms,8
36,jebsen_taylor,2.0,4.0,50ms,9
36,jebsen_taylor,2.0,5.0,150ms,10
37,jebsen_taylor,1.0,1.0,50ms,1
37,jebsen_taylor,1.0,2.0,150ms,2
37,jebsen_taylor,1.0,3.0,200ms,3
37,jebsen_taylor,1.0,4.0,0ms,4
37,jebsen_taylor,1.0,5.0,100ms,5
37,boxblock,2.0,1.0,150ms,6
37,boxblock,2.0,2.0,0ms,7
37,boxblock,2.0,3.0,50ms,8
37,boxblock,2.0,4.0,200ms,9
37,boxblock,2.0,5.0,100ms,10
38,boxblock,1.0,1.0,200ms,1
38,boxblock,1.0,2.0,0ms,2
38,boxblock,1.0,3.0,100ms,3
38,boxblock,1.0,4.0,50ms,4
38,boxblock,1.0,5.0,150ms,5
38,jebsen_taylor,2.0,1.0,50ms,6
38,jebsen_taylor,2.0,2.0,0ms,7
38,jebsen_taylor,2.0,3.0,100ms,8
38,jebsen_taylor,2.0,4.0,150ms,9
38,jebsen_taylor,2.0,5.0,200ms,10
39,jebsen_taylor,1.0,1.0,0ms,1
39,jebsen_taylor,1.0,2.0,200ms,2
39,jebsen_taylor,1.0,3.0,100ms,3
39,jebsen_taylor,1.0,4.0,50ms,4
39,jebsen_taylor,1.0,5.0,150ms,5
39,boxblock,2.0,1.0,150ms,6
